pga_g,pga_growth,p_wave_sec,depth_km,distance_km,stations,noise_level,warning
0.1975,0.4068,2.47,96.26,194.55,71,0.104,0
0.051,0.7953,2.13,19.93,67.73,11,0.148,0
0.6106,0.0144,2.48,10.8,80.5,6,0.124,0
0.3666,0.5704,1.13,95.85,170.8,20,0.201,0
0.4735,0.3003,7.89,16.65,145.11,19,0.023,0
1.004,0.8038,5.2,73.92,162.63,18,0.274,1
0.9774,0.0243,5.65,80.2,142.53,30,0.035,0
0.0598,0.577,7.7,38.91,90.83,7,0.192,0
0.5923,0.0129,6.48,75.33,101.09,69,0.037,0
0.6359,0.6737,4.05,81.3,169.38,31,0.222,1
1.1711,0.4496,3.37,48.94,137.06,6,0.189,1
0.7749,0.0789,1.61,26.89,148.9,39,0.19,0
0.5881,0.8755,1.25,23.33,98.43,67,0.093,1
0.5644,0.6928,7.95,55.81,63.02,11,0.282,1
0.9857,0.8716,3.87,28.33,42.76,27,0.032,1
0.1175,0.6753,2.46,37.24,121.07,66,0.091,0
0.6025,0.7898,3.46,17.59,190.04,58,0.128,1
0.8753,0.3804,3.32,13.85,66.93,42,0.228,1
1.1124,0.6446,7.26,30.4,75.07,51,0.123,1
1.0453,0.078,7.44,76.05,171.0,36,0.039,1
1.1234,0.2319,2.49,52.07,38.78,48,0.238,1
0.519,0.0358,6.21,41.2,175.27,71,0.169,0
0.8815,0.4113,6.15,65.16,57.96,7,0.274,1
0.6646,0.162,3.61,29.61,51.89,34,0.128,1
0.806,0.1166,5.32,9.37,100.62,64,0.17,1
0.5491,0.3062,6.19,43.89,110.01,32,0.036,0
0.2946,0.2399,4.77,88.95,150.18,53,0.121,0
0.8976,0.1969,2.53,75.71,100.13,74,0.291,1
0.7593,0.7779,2.12,28.56,50.44,52,0.197,1
0.5239,0.2877,6.61,96.87,26.32,55,0.216,1
0.7087,0.0102,3.44,92.83,165.29,60,0.292,0
0.3057,0.1071,1.66,53.19,136.73,59,0.035,0
0.1595,0.5168,0.78,72.07,192.52,33,0.163,0
0.5305,0.6898,1.25,31.43,188.76,25,0.123,0
0.0224,0.2784,3.96,95.98,129.27,32,0.148,0
0.2894,0.2299,7.7,71.06,62.17,3,0.066,0
0.1065,0.2128,3.68,38.28,99.1,44,0.218,0
0.4412,0.3628,0.55,30.63,169.18,9,0.07,0
0.9858,0.2154,2.16,76.53,59.69,80,0.154,1
0.2329,0.2088,3.63,67.2,189.8,19,0.277,0
0.7194,0.3797,5.82,20.04,90.48,41,0.222,1
1.1971,0.8391,2.97,20.18,187.24,60,0.019,1
0.4549,0.3052,1.77,2.28,56.68,45,0.132,0
1.0634,0.5094,6.19,39.25,153.98,40,0.248,1
0.5734,0.3417,7.4,20.92,73.49,61,0.019,1
0.4989,0.7325,6.25,5.98,7.94,9,0.243,1
0.0848,0.549,3.22,34.83,190.8,6,0.086,0
0.8628,0.2917,2.57,2.37,151.37,9,0.017,1
1.1486,0.859,3.4,26.6,86.56,64,0.048,1
0.6009,0.0177,7.48,31.72,138.73,20,0.186,0
0.4406,0.7062,1.09,21.34,150.82,32,0.128,1
0.783,0.4387,4.58,17.75,85.88,14,0.296,1
0.1247,0.4536,5.82,45.8,47.61,54,0.144,0
1.0706,0.2191,4.54,77.84,152.15,38,0.095,1
0.8883,0.1873,2.36,26.04,31.51,75,0.065,1
0.0871,0.234,2.34,53.58,130.28,13,0.199,0
0.575,0.739,6.8,91.61,9.03,38,0.078,1
0.07,0.5444,6.71,21.03,15.95,66,0.261,0
0.9356,0.8517,1.29,60.42,124.37,28,0.021,1
0.4146,0.0493,8.0,5.75,146.71,27,0.246,0
0.4525,0.5627,1.08,5.08,99.63,62,0.028,0
0.1307,0.3618,4.63,64.64,19.14,21,0.125,0
0.8047,0.3819,0.89,75.04,176.86,54,0.131,1
1.0385,0.897,3.23,21.33,145.88,27,0.283,1
0.1451,0.0905,4.83,37.74,154.84,17,0.014,0
0.6663,0.5802,7.32,10.73,124.82,48,0.224,1
0.2026,0.1629,1.0,39.61,150.96,26,0.097,0
1.0064,0.0487,7.35,32.82,121.92,50,0.035,1
1.0705,0.5799,6.92,62.86,123.33,26,0.25,1
0.2277,0.2041,3.5,52.75,77.33,16,0.053,0
0.2392,0.7966,6.82,67.88,133.91,42,0.044,0
0.7234,0.4995,5.2,32.01,84.59,75,0.082,1
0.6093,0.1691,0.53,98.64,93.59,58,0.231,0
0.9382,0.4179,1.85,48.38,22.31,17,0.114,1
0.6102,0.5948,0.8,14.77,184.5,41,0.236,1
0.6187,0.0583,4.28,39.03,190.22,18,0.017,0
0.8341,0.1075,1.49,88.8,58.29,22,0.209,1
0.8681,0.2068,6.75,61.82,51.19,42,0.27,1
0.1809,0.457,7.4,22.42,53.31,65,0.079,1
0.453,0.1871,3.53,64.38,56.36,42,0.27,0
0.1469,0.4823,5.27,37.26,174.72,72,0.161,0
0.8296,0.8075,2.39,54.5,171.46,48,0.087,1
0.4387,0.6905,3.82,19.32,148.98,7,0.096,0
0.6242,0.286,7.74,87.29,185.76,41,0.223,0
0.3563,0.5668,3.63,37.68,10.51,63,0.076,1
0.7872,0.0298,0.52,36.79,22.17,46,0.165,0
0.1691,0.3359,6.71,17.55,3.81,32,0.215,0
0.5465,0.0667,1.59,67.22,54.68,34,0.29,0
1.0723,0.5393,4.84,60.98,104.0,64,0.082,1
1.0852,0.0492,4.49,41.79,48.3,8,0.274,1
0.7916,0.1856,3.6,52.79,128.9,54,0.246,1
0.2178,0.2854,2.75,6.75,177.98,62,0.217,0
0.8968,0.4241,6.06,46.34,45.96,14,0.086,1
0.7764,0.1197,7.18,92.67,188.63,34,0.216,0
0.5289,0.7117,4.42,28.0,128.76,28,0.035,1
0.6138,0.1611,7.29,84.49,41.35,21,0.226,0
0.401,0.2229,7.31,63.81,138.88,69,0.146,1
1.0093,0.6309,6.93,44.85,145.2,74,0.267,1
0.7065,0.513,1.79,5.23,23.27,80,0.279,1
0.4204,0.1362,0.72,6.08,138.83,6,0.212,0
0.7127,0.3334,6.63,82.32,178.36,9,0.265,0
0.9094,0.643,3.38,26.16,41.43,5,0.02,1
0.7647,0.7443,5.24,30.16,20.88,13,0.24,1
0.7791,0.2721,3.02,27.59,70.83,37,0.024,1
0.9254,0.5458,4.07,30.19,149.39,53,0.019,1
0.6272,0.0975,4.02,6.72,113.65,12,0.177,0
0.633,0.2666,6.13,7.29,70.21,13,0.153,1
0.9582,0.1742,4.21,36.02,166.54,34,0.178,1
1.1266,0.2161,1.74,93.99,153.6,63,0.238,1
0.8396,0.7104,5.21,36.85,80.85,51,0.269,1
0.7786,0.341,2.77,43.95,109.44,22,0.12,1
1.0619,0.2179,3.96,54.09,151.14,78,0.197,1
0.1948,0.7604,5.47,74.71,34.74,57,0.21,1
0.3161,0.2156,3.01,64.98,139.62,65,0.066,0
1.014,0.1476,1.67,26.26,65.99,67,0.111,1
0.2911,0.8607,2.44,95.59,198.99,22,0.289,0
1.1808,0.7175,6.0,44.62,40.04,14,0.091,1
1.0634,0.4229,0.59,85.72,87.87,29,0.155,1
0.1788,0.5473,3.54,74.61,181.69,56,0.213,0
0.709,0.586,6.84,67.45,130.84,75,0.257,1
0.5501,0.2886,5.21,11.59,84.5,52,0.217,0
0.7592,0.2326,3.68,46.61,124.69,53,0.16,1
1.0744,0.302,0.58,83.52,181.73,14,0.021,0
0.6566,0.1531,6.36,94.18,104.32,13,0.256,0
0.5761,0.0243,6.44,38.25,69.23,59,0.071,1
0.8244,0.3593,6.22,13.99,196.91,46,0.195,1
0.0832,0.0769,7.37,63.6,135.3,75,0.087,0
0.2771,0.6699,7.55,53.65,44.56,51,0.144,1
0.092,0.7206,1.95,64.94,144.42,19,0.112,0
0.7702,0.7387,6.62,47.87,59.57,71,0.198,1
0.9425,0.2151,5.78,69.37,196.6,24,0.15,1
0.9685,0.721,3.18,66.13,64.74,63,0.134,1
0.4413,0.8366,6.91,7.59,165.75,42,0.237,1
0.1771,0.7499,5.25,3.47,3.28,10,0.2,0
0.1799,0.2179,6.32,35.95,31.38,52,0.24,0
0.2098,0.8031,5.06,78.57,134.02,71,0.239,1
0.8344,0.4824,6.06,44.98,176.65,72,0.044,1
0.5087,0.7461,4.05,56.61,97.39,19,0.213,1
0.7235,0.6638,1.7,33.43,139.48,64,0.203,1
1.0103,0.3437,3.64,96.14,16.0,47,0.194,1
0.8223,0.839,2.98,98.21,102.61,63,0.23,1
0.1819,0.1999,3.62,14.44,19.8,47,0.109,0
1.0957,0.2629,3.06,26.65,11.49,38,0.095,1
0.995,0.3693,4.28,28.63,101.78,27,0.2,1
0.3873,0.2763,4.9,64.21,157.06,6,0.126,0
0.6696,0.3714,4.81,41.05,22.59,6,0.065,1
0.793,0.7122,7.32,61.95,123.72,77,0.264,1
0.1088,0.0451,5.25,63.28,35.61,24,0.262,0
1.1173,0.0219,7.04,15.59,62.56,34,0.26,1
0.2299,0.0405,0.65,57.5,116.08,7,0.154,0
0.9308,0.3848,5.72,41.66,14.38,50,0.182,1
1.1918,0.5969,1.66,77.45,110.21,11,0.197,1
0.0285,0.0143,5.63,13.92,193.3,12,0.073,0
0.1544,0.4304,2.57,57.76,90.7,24,0.278,0
0.8369,0.1389,6.2,30.73,111.94,64,0.144,1
1.1195,0.2361,7.73,72.29,3.27,2,0.266,1
0.4728,0.2881,5.0,95.85,167.15,78,0.027,0
0.4474,0.5217,3.79,68.33,29.84,15,0.115,0
0.5074,0.3533,6.4,94.6,157.14,73,0.107,0
0.3431,0.5634,5.38,80.59,120.38,78,0.22,1
1.0008,0.5304,7.82,26.12,78.08,49,0.185,1
1.0764,0.7287,2.62,2.17,53.35,55,0.056,1
0.9419,0.2668,1.56,89.28,198.57,19,0.089,0
1.0229,0.7283,5.63,91.55,70.02,11,0.167,1
0.9474,0.6527,7.87,32.33,12.45,51,0.145,1
0.2558,0.2367,6.13,79.58,92.48,12,0.165,0
0.4838,0.4737,2.45,83.67,64.88,65,0.181,1
0.2351,0.1812,1.86,70.7,73.2,73,0.114,0
0.3031,0.8311,4.2,86.9,74.96,60,0.238,0
0.1958,0.5415,3.09,52.91,5.09,5,0.069,0
0.7082,0.2001,7.44,29.42,20.32,58,0.233,1
0.9844,0.8675,2.4,5.71,41.0,24,0.12,1
0.4499,0.638,4.15,84.87,179.07,77,0.196,1
1.1074,0.6387,1.17,33.23,47.41,12,0.287,1
0.5435,0.1522,7.74,99.19,45.12,5,0.283,0
1.13,0.0628,4.65,4.72,183.9,34,0.238,1
1.1827,0.0596,1.59,75.99,187.94,39,0.181,1
0.5351,0.5907,4.03,38.43,78.62,48,0.15,1
0.1803,0.6131,0.59,72.29,39.83,5,0.056,0
1.0011,0.0792,5.14,38.56,150.07,58,0.288,1
0.0359,0.0769,7.79,33.61,47.54,15,0.192,0
0.1799,0.2073,0.93,71.94,111.12,19,0.137,0
0.3036,0.0326,4.78,31.06,161.02,34,0.152,0
0.3885,0.8138,1.36,97.9,12.31,28,0.172,1
0.9083,0.8739,3.74,27.63,48.5,31,0.038,1
0.3544,0.8076,0.93,73.19,59.41,3,0.138,0
0.5372,0.7127,7.58,30.07,72.66,6,0.274,1
0.2697,0.5185,1.54,19.65,154.32,23,0.067,0
0.7342,0.451,2.55,22.19,122.87,25,0.179,1
0.2507,0.0685,6.0,42.0,144.61,8,0.16,0
0.7706,0.8516,1.18,42.13,152.83,18,0.263,1
0.3268,0.1756,6.74,37.98,33.53,48,0.177,0
1.1192,0.8722,1.04,36.96,49.7,42,0.236,1
1.043,0.5229,7.24,30.57,22.43,64,0.139,1
0.1699,0.2267,1.16,62.67,34.41,40,0.083,0
0.9824,0.0368,1.22,70.5,39.82,3,0.253,0
0.2937,0.4053,3.13,11.2,36.62,35,0.046,0
0.5974,0.4557,2.6,13.96,81.72,18,0.167,1
0.8058,0.4212,3.47,94.92,4.68,50,0.211,1
0.7205,0.5465,0.77,97.11,11.34,47,0.108,1
0.5283,0.8833,6.53,91.45,163.19,72,0.026,1
0.6257,0.8625,7.51,26.43,85.01,2,0.116,1
0.5253,0.4592,0.66,15.66,193.97,59,0.194,0
0.973,0.7971,7.13,5.37,128.67,35,0.276,1
0.9695,0.0418,1.25,13.93,3.72,31,0.286,1
0.3522,0.2818,5.36,13.8,119.26,66,0.271,0
1.119,0.4016,4.34,88.75,183.2,74,0.094,1
0.2996,0.0882,4.6,84.3,122.38,73,0.074,0
0.4465,0.8037,2.78,48.83,163.95,4,0.08,0
0.2737,0.4661,3.37,59.4,3.36,46,0.057,0
0.3973,0.2502,7.09,23.18,12.32,3,0.056,0
0.0895,0.7854,3.8,8.08,78.19,57,0.113,0
1.1873,0.6131,7.5,42.84,133.98,18,0.206,1
0.7434,0.7665,6.66,52.74,148.01,61,0.088,1
0.8472,0.3776,1.28,42.22,110.44,16,0.154,1
1.1557,0.519,3.63,78.8,174.68,78,0.042,1
0.3528,0.3238,3.15,53.56,119.49,42,0.012,0
0.8975,0.8909,3.36,31.4,107.84,19,0.136,1
0.9877,0.3038,7.77,61.59,49.29,42,0.069,1
0.5175,0.8204,0.58,6.65,113.42,64,0.097,1
0.7478,0.3991,6.69,73.26,86.58,60,0.114,1
0.7177,0.3225,7.61,68.29,105.52,13,0.129,0
1.1148,0.1473,1.91,43.28,80.93,80,0.271,1
0.709,0.6255,6.1,11.04,73.18,47,0.294,1
0.1415,0.8061,5.67,82.41,198.06,54,0.193,0
0.6336,0.7364,2.06,89.53,83.04,8,0.193,1
1.1926,0.5765,0.82,42.32,157.74,40,0.216,1
0.668,0.8262,3.48,11.65,4.07,4,0.067,1
0.3266,0.5857,4.49,99.72,115.32,53,0.185,0
0.183,0.4714,4.32,4.85,16.15,67,0.152,0
0.9624,0.5886,5.63,58.73,29.64,31,0.113,1
0.2116,0.2473,1.25,90.58,116.87,45,0.066,0
0.2719,0.3624,6.23,6.3,11.86,31,0.082,0
0.0623,0.8384,6.91,32.85,179.87,59,0.098,0
0.5997,0.8552,2.32,40.2,143.97,29,0.13,1
0.4843,0.6435,0.67,87.08,18.41,22,0.114,1
0.3559,0.5098,1.36,54.31,77.73,52,0.199,1
1.1539,0.3858,7.35,56.28,78.09,60,0.092,1
0.8005,0.3139,1.67,71.18,19.43,35,0.168,1
0.9471,0.5039,4.0,79.9,48.8,48,0.112,1
1.1505,0.1952,7.63,51.47,46.23,58,0.206,1
1.1311,0.8981,4.97,45.15,198.0,69,0.081,1
1.0481,0.1193,4.35,55.17,54.81,50,0.018,1
0.8647,0.1391,0.61,71.65,139.24,30,0.103,0
0.6788,0.3317,4.25,31.1,14.12,40,0.036,1
0.3534,0.737,3.49,36.88,169.03,60,0.235,1
0.1673,0.2561,0.72,68.6,133.06,45,0.27,0
0.0401,0.6364,3.97,99.99,80.7,13,0.063,0
0.8835,0.6442,0.8,5.92,33.24,26,0.23,1
0.1959,0.6671,4.64,63.69,188.37,73,0.253,0
0.3131,0.3971,5.63,36.21,1.19,37,0.271,0
1.0514,0.5308,5.72,97.46,136.53,5,0.24,1
0.9019,0.0867,5.71,40.58,149.76,29,0.092,1
0.117,0.8523,3.68,93.16,138.63,58,0.158,0
0.811,0.7634,6.34,49.97,38.67,72,0.086,1
0.6602,0.8728,5.28,55.31,50.69,8,0.059,1
0.7674,0.1321,5.65,49.67,97.07,31,0.012,1
0.8329,0.1285,5.31,70.41,27.55,19,0.18,1
0.1504,0.3879,7.56,68.35,31.8,60,0.253,0
0.4933,0.1936,5.68,3.21,97.84,6,0.027,0
0.8449,0.4087,1.35,33.8,94.26,47,0.094,1
0.6735,0.0506,4.01,98.02,97.62,43,0.294,0
0.5918,0.3965,1.92,55.22,2.65,12,0.197,1
0.757,0.8424,5.39,26.64,49.95,18,0.227,1
0.1827,0.3374,7.72,53.49,179.22,22,0.04,0
0.8654,0.2862,5.13,39.18,129.81,46,0.103,1
0.4494,0.7499,2.3,6.04,113.81,52,0.273,1
1.1345,0.45,4.25,17.43,60.61,75,0.192,1
0.1746,0.5767,3.51,97.95,170.28,62,0.065,0
0.8703,0.0125,6.81,85.82,157.6,55,0.052,1
0.8558,0.8027,0.97,2.86,191.25,23,0.272,1
0.2057,0.2732,3.82,57.21,70.27,26,0.146,0
0.5198,0.4859,5.19,17.13,80.87,78,0.19,1
0.9753,0.0634,5.57,61.7,60.11,74,0.132,1
0.1729,0.7801,4.48,64.11,169.77,29,0.207,0
0.5423,0.0858,5.45,38.46,116.57,54,0.114,0
0.3207,0.2122,7.76,21.88,150.22,29,0.26,0
0.3117,0.0945,4.48,26.65,98.37,71,0.143,0
0.8853,0.8192,4.75,85.45,136.22,57,0.049,1
0.6087,0.4614,6.79,94.91,125.69,66,0.04,1
0.2138,0.8644,4.72,77.95,28.22,80,0.027,1
0.2919,0.3414,0.61,60.24,43.41,39,0.045,0
0.1144,0.8899,2.01,13.24,145.91,46,0.059,0
0.8971,0.3138,6.23,68.69,165.3,16,0.079,1
0.4348,0.4452,6.62,36.64,71.79,42,0.243,1
0.1444,0.8336,5.56,26.95,39.44,58,0.016,1
0.9515,0.4444,1.05,27.33,30.9,38,0.263,1
0.8068,0.7542,4.91,26.53,199.46,35,0.285,1
0.1896,0.4566,7.05,80.44,8.06,24,0.19,0
0.7772,0.544,6.82,96.82,138.89,58,0.124,1
0.1003,0.3031,2.12,89.61,118.26,6,0.071,0
0.9848,0.6572,2.99,47.9,187.55,41,0.012,1
0.0344,0.4189,7.9,6.45,30.02,19,0.089,0
0.3353,0.455,2.47,57.76,106.1,18,0.298,0
0.9274,0.7864,6.31,64.04,127.29,47,0.24,1
0.9537,0.2219,6.48,15.83,15.33,44,0.224,1
0.427,0.5002,3.54,7.92,68.11,42,0.266,1
0.9413,0.4583,7.21,81.3,199.33,20,0.049,1
0.5492,0.4065,4.77,31.64,34.61,9,0.052,1
0.8666,0.2344,4.79,66.57,193.2,10,0.277,0
0.2227,0.5266,7.91,36.98,155.11,55,0.219,0
1.1071,0.7563,2.89,19.17,179.65,70,0.017,1
0.8482,0.2043,3.5,21.63,120.98,65,0.198,1
0.2441,0.6632,7.72,60.9,16.78,74,0.109,1
0.649,0.7891,5.3,92.44,43.23,42,0.262,1
0.0422,0.4428,5.07,80.44,35.73,54,0.241,0
0.9334,0.8892,3.5,94.14,174.79,4,0.278,1
0.6813,0.8889,0.92,62.17,145.1,43,0.055,1
0.6401,0.7581,3.18,37.45,69.48,76,0.261,1
0.1926,0.8834,4.81,24.54,124.12,62,0.231,1
0.9294,0.8799,3.9,29.27,105.14,36,0.048,1
0.0208,0.4334,5.42,77.87,73.14,30,0.126,0
0.7533,0.1188,4.57,22.08,155.7,34,0.283,0
0.4451,0.1429,1.83,74.3,184.37,21,0.163,0
0.5355,0.7753,2.1,91.41,180.3,50,0.143,1
0.3954,0.8141,1.31,73.87,14.02,52,0.206,1
0.4574,0.8172,3.32,66.39,172.21,4,0.083,0
0.3222,0.3961,2.24,21.91,152.07,36,0.097,0
0.6877,0.1495,6.97,87.19,54.19,18,0.249,1
0.3463,0.3051,4.14,89.32,33.16,79,0.183,0
1.0606,0.1967,7.13,37.32,156.18,57,0.063,1
1.0381,0.8954,2.73,4.39,23.2,2,0.049,1
0.4285,0.6787,3.98,40.92,83.43,51,0.266,1
1.1758,0.0393,2.26,79.63,138.2,5,0.049,1
0.8411,0.6584,0.86,89.61,13.85,15,0.045,1
0.59,0.1309,3.71,19.54,137.39,19,0.194,0
0.6406,0.7572,7.68,9.58,194.13,29,0.222,1
0.3348,0.1677,2.48,8.75,9.6,66,0.024,0
0.328,0.2999,0.81,46.47,57.15,43,0.21,0
1.179,0.7879,5.88,41.13,64.33,54,0.121,1
1.0592,0.7253,7.24,64.23,48.58,65,0.279,1
0.3131,0.5537,3.33,25.59,40.49,15,0.035,0
0.8625,0.3712,4.69,69.12,89.04,41,0.142,1
0.6975,0.4314,5.35,48.12,69.13,70,0.298,1
0.8945,0.3472,5.84,40.57,105.73,79,0.201,1
0.9932,0.0741,6.48,67.1,184.87,34,0.086,1
0.4239,0.5346,4.78,99.94,14.1,68,0.116,1
0.2538,0.1605,3.24,68.02,31.34,59,0.062,0
0.786,0.8204,2.91,37.45,172.86,55,0.046,1
0.1931,0.2338,1.27,36.95,160.84,67,0.098,0
0.3557,0.4071,1.34,64.19,146.41,23,0.23,0
0.1884,0.6154,3.25,53.03,48.29,48,0.162,0
0.6719,0.0107,2.45,59.88,62.0,70,0.09,0
0.3956,0.2252,6.76,10.95,127.59,12,0.068,0
0.7453,0.3407,0.83,45.37,74.07,38,0.291,1
0.5229,0.5506,2.43,25.39,170.09,17,0.278,0
0.8572,0.3414,5.49,34.29,15.09,58,0.12,1
0.6357,0.452,7.26,76.19,6.09,76,0.173,1
0.529,0.8955,1.82,8.38,80.13,18,0.158,1
0.9914,0.6066,6.05,41.36,9.08,38,0.171,1
0.1506,0.2064,1.08,82.11,21.24,12,0.256,0
0.2666,0.4143,6.68,21.58,67.78,8,0.17,0
0.1769,0.3722,0.88,63.4,64.78,25,0.16,0
0.0172,0.8899,2.56,27.71,63.3,33,0.203,0
1.0641,0.6161,2.8,26.36,76.67,56,0.258,1
0.3159,0.1898,0.89,54.61,75.39,60,0.2,0
1.1172,0.3142,3.92,71.28,133.11,41,0.012,1
0.0905,0.8568,6.68,5.46,44.72,57,0.095,1
0.7146,0.4146,7.51,45.6,175.73,8,0.062,0
1.0312,0.1208,1.53,88.23,163.04,64,0.062,1
0.9628,0.4534,5.55,68.15,59.68,28,0.165,1
0.1992,0.702,5.86,52.59,93.67,26,0.237,0
0.7941,0.2393,7.29,69.22,31.81,8,0.278,1
0.1687,0.1525,3.85,76.3,175.07,41,0.215,0
0.3171,0.4984,2.11,94.66,133.41,30,0.124,0
0.0492,0.3482,5.31,23.89,109.6,12,0.067,0
0.4065,0.3672,0.79,36.48,131.84,27,0.299,0
1.1279,0.4784,2.68,36.1,150.32,64,0.268,1
0.3432,0.2796,4.88,76.11,41.06,61,0.089,0
1.0727,0.7624,2.2,92.61,7.45,77,0.039,1
0.1911,0.277,1.79,36.32,96.73,43,0.225,0
0.2228,0.7111,2.74,8.8,112.28,13,0.227,0
0.478,0.0419,0.8,58.77,83.19,17,0.13,0
1.0063,0.0778,5.96,73.96,72.53,12,0.106,1
0.5815,0.1426,1.21,88.15,24.3,64,0.088,0
0.6538,0.2986,2.34,57.7,9.37,33,0.116,1
0.2521,0.1231,2.3,87.41,100.86,13,0.014,0
1.1325,0.4447,6.43,57.9,138.1,30,0.035,1
1.1978,0.3874,5.18,12.74,114.39,16,0.034,1
0.6984,0.2182,4.96,78.83,142.45,8,0.248,0
0.1267,0.2013,6.3,19.12,61.42,11,0.245,0
0.5595,0.8296,0.58,94.15,82.98,53,0.019,1
0.6186,0.1588,6.48,77.48,41.54,29,0.209,0
0.8532,0.0695,0.52,88.31,8.51,68,0.236,1
0.7673,0.1871,5.19,84.88,157.54,12,0.199,0
1.1659,0.5287,6.53,50.27,154.64,64,0.049,1
1.0867,0.673,6.74,80.61,118.49,56,0.122,1
0.7713,0.8445,4.35,75.31,119.13,15,0.03,1
0.9034,0.7643,2.3,59.59,112.76,64,0.177,1
1.1206,0.8017,0.88,67.03,79.57,44,0.249,1
0.7864,0.7543,3.05,60.3,167.42,40,0.011,1
0.592,0.0246,1.33,81.61,84.31,78,0.097,0
0.1089,0.3605,3.99,5.19,67.83,35,0.064,0
1.0686,0.3726,4.54,25.69,44.05,6,0.119,1
0.4059,0.1443,1.76,36.45,163.35,51,0.099,0
0.389,0.7898,6.43,61.45,171.49,21,0.123,1
0.1335,0.2288,4.74,66.4,147.58,13,0.296,0
0.8841,0.6803,5.5,15.23,150.91,33,0.203,1
0.5385,0.8625,3.21,66.79,126.75,49,0.282,1
0.9723,0.0631,5.41,50.35,138.62,3,0.027,1
0.6733,0.4085,6.13,89.33,146.04,59,0.02,1
0.397,0.1319,7.65,89.36,29.76,76,0.276,0
0.2166,0.5347,7.87,63.47,49.11,70,0.017,1
0.6624,0.3727,1.13,95.1,128.25,64,0.289,0
0.3402,0.1541,4.81,82.94,158.94,45,0.269,0
0.2489,0.7286,0.96,32.18,104.58,40,0.273,0
0.9347,0.3305,5.7,28.69,178.36,61,0.067,1
0.3919,0.4001,1.31,27.5,79.4,50,0.24,0
1.1117,0.5642,4.26,42.01,32.81,41,0.023,1
0.3419,0.4868,5.46,85.11,82.93,10,0.09,0
0.6399,0.2667,5.23,27.45,154.5,6,0.164,1
0.8407,0.282,5.02,37.26,196.12,9,0.264,1
0.9957,0.7526,5.84,93.14,34.02,23,0.291,1
